술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식,술 생산 지역
리큐르/기타주류,긴밤을 지나,12%,"정제수,주정,청주,정백당,구연산,석류향,아세셀팜칼륨,식용색소 적색40호",깔끔한 맛과 부드러움이 특징인 청주를 베이스로 향긋하고 매력적인 석류향을 더한 전통주입니다.,,서울시 은평구 증산로7길 28-13
리큐르/기타주류,폭스앤홉스,9%,"쌀(국내산/지역햅쌀 100%), 입국, 홉(국내산 0.31%),정제효소제, 효모, 정제수","국내산 재료로 만든 전통주,국산재료만 사용하여 황금빛색의 술에 국내산 홉의 잔향,꽃향기를 맡을 수 있고, 적당한 탄산감으로 충분한 청량감을 느낄 수 있습니다.",,경상북도 문경시 동로면 노은리 192번지
리큐르/기타주류,무박이일,14%,"전조비수리(야관문), 정제수, 포도당, 효모","밤의 빗장을 열어주는 문이란 뜻으로 야관문을 먹으면 천리 밖에서도 빛이 보인답니다.

화학적 알코올을 일절 사용하지 않고 오직 누룩이 자연적으로 빚어낸 14% 알코올 함량의 전통주입니다.","삼계탕,족발.",제주특별자치도 제주시 한경면 고산로2길 22-13 (고산1리 다목적회관) 왕지케양조장 (우 : 63008)
리큐르/기타주류,블링블링 노을별,15%,"정제수, 포도과육(국내산100%)증류원액, 정백당, 효소처리스테비아, 포도향(천연향료)","블링블링 노을별은 영덕 바다의 은하수를 담아낸 우주 술로,

포도의 향과 맛이 조화롭게 어우러져 달콤함을 선사합니다!

아름다운 비주얼을 가지고 있는 은하수를 담은 이 전통주는 오로라를 연상시키며,

15%의 알코올 도수와 다양한 블렌딩 옵션으로 다채로운 즐거움을 제공합니다!","파스타,피자,샐러드..",경북 영덕군 강구면 소월1길 16-10
리큐르/기타주류,글린트(GLINT),15%,"쌀(국내산), 딸기(논산)","신선한 딸기를 한입 베어문듯 상큼한 딸기향이 입안 가득 느껴지며, 증류원액의 깊고 묵직함에 새콤 달달함이 더해져 코냑의 깊은 맛과 와인의 달달함을 동시에 느낄 수 있다.","해산물, 스테이크, 파스타, 피자 등 메인요리. 하몽, 치즈, 케이크, 쿠키 등 가벼운 디저트",서울특별시 강남구 영동대로122길 41 (삼성동)
리큐르/기타주류,우리WRY 과하주,18%,"정제수, 쌀(국내산), 주정, 국, 효모, 유산균, 밀함유","아름답고 우아한 황금빛 색감. 강렬한 풍미와 묵직한 여운을 남기는 과실향. 쌀의 달콤함, 입맛을 돋우는 산미, 쌉싸름함이 모두 담긴 오묘하고 섬세한 맛.","달콤한 디저트, 달콤하고 시원한 과일",서울특별시 성동구 성수일로 111 103호 우리서막
리큐르/기타주류,레이지 스프링,6%,"정제수, 딸기(국산), 벌꿀(국산), 효모, 이산화탄소, 효모영양제, 메타중아황산칼륨",달콤한 딸기와 아카시아꿀의 향과 함께 부드러운 탄산을 즐길 수 있다. 상온에서 10분간 기다리면 풍미가 살아난다.,,경기도 용인시 처인구 모현읍 초부로 148번길 23-42
리큐르/기타주류,맑은 바탕 오크,16%,"물, 찹쌀(국산), 오크칩, 개량누룩, 배양효모, 배양유산균, 밀 함유, 대두, 우유, 달걀, 아황산 혼입 가능",한국 발효주의 숙성의 묘미를 살리면서 오크향을 더한 발효주이다.,짭짤한 안주인 치즈나 올리브,"서울특별시 서초구 서초대로 360, 지하 104호 서울효모방"
리큐르/기타주류,사워미드,9.5%,"아카시아 벌꿀, 유산균, 와인 효모","아카시아 벌꿀과 유산균, 와인 효모를 넣어 만든 전통주입니다. 시큼한 맛을 줄여 부드러운 산미를 느낄 수 있습니다.",,경기도 김포시 태장로 741
리큐르/기타주류,금군 아카시아주,11%,"아카시아꽃 추출물, 주정, 설탕","아카시아 추출물이 70%나 함유된 금군 꽃술 아카시아주는 풍부한 꽃 본연의 향이 물씬 느껴진다. 사케처럼 따뜻하게 데워 마시면 꽃 향의 깊은 풍미를 느낄 수 있고, 차갑게 마시거나 탄산수와 섞어 마시면 입 속에서 청량함이 더해진다.",,전라북도 고창군 고창읍 태봉로564
리큐르/기타주류,한알한알,4.5%,"정제수, 보리, 쌀, 보리맥아, 호프펠렛, 효소제, 효모, 이산화탄소","서울대 출신 농부가 가루쌀을 활용하여 만든 자체 R&amp;amp;D 제품으로, 가루쌀을 사용하여 부드러운 목 넘김을 선사한다. 가루쌀의 담백하고 고소한 맛과 경쾌한 탄산이 입안을 가득 채우면서 느껴지는 시원한 느낌이 특징.",,전라북도 고창군 부안면 복분자로 434-129
리큐르/기타주류,JMT 자두,16%,"자두 리큐르 원액(자두 6.29%, 국내산), 정제수","양조장에서 직접 농사 지은 자두로 만든 리큐르다. 경남 함안에 위치한 양조장 가야주조는 집안에서 빚던 자두 술을 젊은 세대의 입맛에 맞게 재해석한 리큐르를 만드는 곳이다. 자두를 주정에 통째로 넣어 1달 이상 침출한 후에 7일 이상 숙성과 총 두 번의 여과를 거쳐 만들어지고, 달콤상큼한 자두의 풍미가 잘 살아있다. 향을 맡았을 때 코로 훅 들어오는 자두 내음이 매우 강렬하며 산미가 느껴진다. 차가운 탄산수를 넣어 하이볼로 마시면 청량함을 느낄 수 있다.","바닐라 아이스크림, 치즈 케이크",
리큐르/기타주류,사워보쉐,10.5%,"정제수, 벌꿀(국내산)30%, 유산균, 효모추출물, 효모",사워보쉐는 벌꿀을 높은 온도에서 캐러멜라이징하고 유산균과 알코올을 차례로 발효한 뒤 숙성과정을 거쳐 완성된다. 유산균 덕분에 약간의 산미가 더해져 꿀술의 풍미가 한층 풍부하다. 달콤한 꿀향과 샤인머스켓 향이 풍부하게 나는 것이 특징. 약간의 탄산감이 더해져 상쾌함과 함께 꿀향이 향긋해서 알코올 향은 거의 느껴지지 않는 편이다.,"카나페, 케이크",경기도 김포시 양촌읍 김포대로1759번길 33-23 2동
리큐르/기타주류,로얄그레이,11%,"정제수, 벌꿀(국내산, 경기도 남양주시), 사과(포천시), 배(남양주시), 얼그레이, 효모, 효모영양제, 산성아황산나트륨(산화방지제)",로얄그레이는 남양주의 야생화꿀을 베이스로 한 미드를 만드는 술빚는호랑이 미더리에서 만든 전통주다. 흐드러지게 피어난 숲 속의 여름 꽃에서 채밀된 여름 잡화꿀을 사용해 꿀의 풍미가 풍부하다. 술에서는 독특한 재료인 꿀향과 잘 어우러지는 얼그레이가 들어있다. 얼그레이 원물 그대로를 사용한 덕에 홍차의 깊은 향이 난다.,"샌드위치, 마들렌",경기도 남양주시 늘을1로16번길 29 (늘봄타워) 5층 502호
리큐르/기타주류,시작,9%,"정제수, 벌꿀, 이산화탄소, 주석산, 제이인산암모늄, 효모","시작은 친환경 꿀로 술을 빚는 부즈앤버즈 미더리에서 만들어진 술이다. 야생화 꿀과 효모만으로 이루어진 트래디셔널 미드로 은은하게 퍼지는 야생화 꿀향과 청량한 탄산감이 마치 시원한 바람처럼 느껴진다. 달달한 샴페인의 느낌도 나서 파티나 모임에 가져가기에 어울리는 술이다. 약간의 산미가 느껴지고 꿀의 은은한 단맛, 청량한 탄산감을 동시에 느낄 수 있는 스파클링 미드이다. 달달하고 마무리감이 깔끔하다.","햄버거, 케이크류의 디저트",경기도 용인시 처인구 모현읍 초부로 148번길 23-42 다동
리큐르/기타주류,비왈츠 오리지널,10%,"벌꿀(국산), 정제수, 효모, 천연자몽향","비왈츠는 6월 춘천 야생화의 꿀로 만든 미드이다. 춘천에 위치한 미더리봉자에서 꿀의 달콤함과 6월 야생화의 향긋함을 비왈츠 한 병에 모두 담아냈다. 미더리에서 직접 양봉해서 수확한 벌꿀이 35%나 들어있고, 미생물의 자연 활동으로 빚어진 술이다. 꿀향 뿐 아니라 은은한 열대과일향도 느껴지고 단맛으로 시작해서 살구와 리치의 과실향이 맛을 더 풍성하게 만들어준다. 이어서 산미가 살짝 혀를 자극하고 쌉싸름한 피니쉬로 여운을 준다.","카프레제 샐러드, 문어 샐러드, 스테이크 타르타르, 크루아상",강원도 춘천시 소양고개길 6 미더리봉자
리큐르/기타주류,뉴룩 오리지널,4%,"정제수, 알룰로오스, 쌀(경기미), 포도당, 효모, 누룩","당류 0g으로 청량감 가득한 전통주. 뉴룩 오리지널맛은 텁텁함이 없이 크리미함이 감돌아 가볍게 마시기 좋다. 막걸리에 사이다를 탄 막사와 같은 맛이 나면서, 그 청량함과 산뜻함이 돋보인다.","치킨, 마라, 튀김",경기도 화성시 동탄대로 636-1 1001호
리큐르/기타주류,뉴룩 레몬향,4%,"정제수, 알룰로오스, 쌀(경기미), 포도당, 효모, 누룩, 합성향료(레몬향)",당류 0g으로 청량감 가득한 전통주. 톡 쏘는 상큼함이 돋보이며 새콤달콤한 맛을 선사한다. 청량감이 풍부하며 가볍게 마시기 좋다.,"중식, 회",경기도 화성시 동탄대로 636-1 1001호
리큐르/기타주류,뉴룩 얼그레이향,4%,"정제수, 알룰로오스, 쌀(경기미), 포도당, 효모, 누룩, 합성향료(얼그레이향)",당류 0g으로 청량감 가득한 전통주. 달콤쌉쌀하게 입안에 감도는 홍차의 여운이 그대로 느껴진다.,"디저트류, 치즈, 전골",경기도 화성시 동탄대로 636-1 1001호
리큐르/기타주류,리치앤크리미,9%,"물, 찹쌀, 우유, 계란, 오크칩, 개량누룩, 배양효모, 버터, 배양유산균","포스트모더니즘을 바탕으로 전통주를 재구성해 우리술을 창조하는 서울효모방에서 탄생한 탁주. 우유, 계란, 바닐라빈 등의 독특한 재료 덕분에 진한 커스타드 풍미와 함께 산미가 느껴지는 막걸리다. 유크림의 깊고 고소한 맛과 직접 구운 캐러멜의 달콤한 향이 어우러져 바닐라 아이스크림을 연상케 한다.","크로아상, 소금빵","서울시 서초구 서초대로 360, 지하 104호 서울효모방"
리큐르/기타주류,쿨막,8.5%,"물, 찹쌀(국산), 개량누룩, 효모배양액, 생강(국산), 애플민트(국산), 홉, 로즈마리, 유산균배양액, 스피어민트","여름의 초록빛 홉과 민트의 은은한 향이 매력적인 탁주. 애플민트, 로즈메리 등 허브향을 느낄 수 있고 기분 좋은 쌉싸름함이 입을 깔끔하게 헹구어 주는 듯한 느낌이 난다.","전, 튀김, 치킨","서울시 서초구 서초대로 360, 지하 104호 서울효모방"
